Symbol,Name,Exchange,Sector,Industry
ADHD,Alcobra Ltd.,NYSE,Health Care,Major Pharmaceuticals
ADI,Analog Devices Inc.,NYSE,Technology,Semiconductors
ADK,Adcare Health Systems Inc,AMEX,Health Care,Hospital/Nursing Management
ADM,Archer-Daniels-Midland Company,NASDAQ,Consumer Non-Durables,Packaged Foods
ADMA,ADMA Biologics Inc,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation,NYSE,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ADP,Automatic Data Processing Inc.,NYSE,Technology,EDP Services
ADPT,Adeptus Health Inc.,NASDAQ,Health Care,Hospital/Nursing Management
ADRO,Aduro Biotech Inc.,NYSE,Health Care,Major Pharmaceuticals
ADS,Alliance Data Systems Corporation,NASDAQ,Miscellaneous,Business Services
ADSK,Autodesk Inc.,NYSE,Technology,Computer Software: Prepackaged Software
ADT,ADT Corporation,NYSE,Consumer Services,Diversified Commercial Services
ADTN,ADTRAN Inc.,NYSE,Public Utilities,Telecommunications Equipment
ADUS,Addus HomeCare Corporation,NYSE,Health Care,Medical/Nursing Services
ADXS,Advaxis Inc.,NYSE,Health Care,Major Pharmaceuticals
ADXSW,Advaxis Inc.,NYSE,Health Care,Major Pharmaceuticals
AE,Adams Resources & Energy Inc.,AMEX,Energy,Oil Refining/Marketing
AEB,Aegon NV,NASDAQ,Finance,Life Insurance
AED,Aegon NV,NASDAQ,Finance,Life Insurance
AEE,Ameren Corporation,NASDAQ,Public Utilities,Power Generation
AEG,Aegon NV,NASDAQ,Finance,Life Insurance
AEGN,Aegion Corp,NYSE,Basic Industries,Water Supply
AEGR,Aegerion Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AEH,Aegon NV,NASDAQ,Finance,Life Insurance
AEHR,Aehr Test Systems,NYSE,Capital Goods,Electrical Products
AEIS,Advanced Energy Industries Inc.,NYSE,Capital Goods,Industrial Machinery/Components
AEK,Aegon NV,NASDAQ,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company,NASDAQ,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited,NASDAQ,Basic Industries,Precious Metals
AEMD,Aethlon Medical Inc.,NYSE,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEO,American Eagle Outfitters Inc.,NASDAQ,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc.,NASDAQ,Public Utilities,Electric Utilities: Central
AEPI,AEP Industries Inc.,NYSE,Capital Goods,Specialty Chemicals
AER,Aercap Holdings N.V.,NASDAQ,Technology,Diversified Commercial Services
AERI,Aerie Pharmaceuticals Inc.,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation,NASDAQ,Basic Industries,Electric Utilities: Central
AET,Aetna Inc.,NASDAQ,Health Care,Medical Specialities
AETI,American Electric Technologies Inc.,NYSE,Energy,Industrial Machinery/Components
AEUA,Anadarko Petroleum Corporation,NASDAQ,Energy,Oil & Gas Production
AEY,ADDvantage Technologies Group Inc.,NYSE,Consumer Services,Office Equipment/Supplies/Services
AEZS,AEterna Zentaris Inc.,NYSE,Health Care,Major Pharmaceuticals
AF,Astoria Financial Corporation,NASDAQ,Finance,Savings Institutions
AFA,American Financial Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFAM,Almost Family Inc,NYSE,Health Care,Medical/Nursing Services
AFCO,American Farmland Company,AMEX,Consumer Services,Real Estate Investment Trusts
AFG,American Financial Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFGH,American Financial Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFH,Atlas Financial Holdings Inc.,NYSE,Finance,Property-Casualty Insurers
AFI,Armstrong Flooring Inc.,NASDAQ,Consumer Non-Durables,Plastic Products
AFL,Aflac Incorporated,NASDAQ,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,NYSE,Health Care,Major Pharmaceuticals
AFOP,Alliance Fiber Optic Products Inc.,NYSE,Technology,Semiconductors
AFSD,Aflac Incorporated,NASDAQ,Finance,Accident &Health Insurance
AFSI,AmTrust Financial Services Inc.,NYSE,Finance,Property-Casualty Insurers
AFSS,AmTrust Financial Services Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFST,AmTrust Financial Services Inc.,NASDAQ,Finance,Property-Casualty Insurers
AFW,American Financial Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AG,First Majestic Silver Corp.,NASDAQ,Basic Industries,Precious Metals
AGCO,AGCO Corporation,NASDAQ,Capital Goods,Industrial Machinery/Components
AGEN,Agenus Inc.,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc.,NYSE,Finance,Business Services
AGFSW,AgroFresh Solutions Inc.,NYSE,Finance,Business Services
AGI,Alamos Gold Inc.,NASDAQ,Basic Industries,Precious Metals
AGII,Argo Group International Holdings Ltd.,NYSE,Finance,Specialty Insurers
AGIIL,Argo Group International Holdings Ltd.,NYSE,Finance,Specialty Insurers
AGIO,Agios Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation,NASDAQ,Finance,Finance Companies
AGN,Allergan plc.,NASDAQ,Health Care,Major Pharmaceuticals
AGNC,American Capital Agency Corp.,NYSE,Consumer Services,Real Estate Investment Trusts
AGNCB,American Capital Agency Corp.,NYSE,Consumer Services,Real Estate Investment Trusts
