"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"OSG","Overseas Shipholding Group, Inc.","2","744602672","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/osg",
"OSGB","Overseas Shipholding Group, Inc.","2.03","13977193.51","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/osgb",
"RLGT","Radiant Logistics, Inc.","3.69","179871042.6","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt",
