"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DSW","DSW Inc.","23.67","1939000740.57","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dsw",
"DRE","Duke Realty Corporation","22.7","7852943623.1","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dre",
"DLNG","Dynagas LNG Partners LP","13.07","463854300","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/dlng",
"DX","Dynex Capital, Inc.","6.53","319662175.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dx",
"SSP","E.W. Scripps Company (The)","14.75","1237851078.25","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ssp",
"DEA","Easterly Government Properties, Inc.","18.65","450740268.35","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dea",
"EGP","EastGroup Properties, Inc.","61.91","2007710159.27","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/egp",
"DANG","E-Commerce China Dangdang Inc.","7.04","579299649.28","n/a","2010","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dang",
"EDR","Education Realty Trust Inc.","41.58","2747111805.9","n/a","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/edr",
"EHIC","eHi Car Services Limited","10.56","724064415.36","n/a","2014","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/ehic",
"EARN","Ellington Residential Mortgage REIT","12.39","112961897.37","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/earn",
"ESRT","Empire State Realty Trust, Inc.","19.08","5236162750.8","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/esrt",
"EGL","Engility Holdings, Inc.","19.21","706045396.55","n/a","2015","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/egl",
"EBF","Ennis, Inc.","19.36","499701463.36","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ebf",
"ETM","Entercom Communications Corporation","11.85","473492203.8","n/a","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/etm",
"EVC","Entravision Communications Corporation","7.97","708615593.11","n/a","2000","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/evc",
"EPR","EPR Properties","68.91","4382707491.87","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/epr",
"EQC","Equity Commonwealth","28.35","3569984381.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqc",
"EQCO","Equity Commonwealth","24.78","0","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqco",
